Time_ms,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,V7_mV,V8_mV,V9_mV,u1_mV,u2_mV,u3_mV,u4_mV,u5_mV,u6_mV,u7_mV,u8_mV,u9_mV
1128,-73.4949783465756,-73.5300243555838,-73.5687479842089,-73.5300087351211,-73.5582542354775,-73.5913136958868,-73.5687205787156,-73.5913030738403,-73.6188828467642,-0.0127375654905789,-0.00610723945601367,0.0012188524459244,-0.0061101946777166,-0.000766451359802275,0.0054880411225674,0.00121366762245176,0.00548603154630825,0.010703826428007
1130,-73.4814965408562,-73.516584181539,-73.5553593976249,-73.5165685796966,-73.54484882267,-73.5779548345549,-73.5553320247941,-73.5779442334324,-73.6055656154334,-0.0127542499465941,-0.00611604764941913,0.00121980404235269,-0.00611899934834412,-0.000768683103094157,0.00549461641576392,0.001214625398302,0.00549261079811377,0.0107182776672053
1132,-73.4680016422828,-73.5031295305547,-73.5419547109179,-73.5031139455668,-73.531427793564,-73.5645789278451,-73.5419273674149,-73.5645683458181,-73.5922300975272,-0.012770404457784,-0.00612458775147782,0.00122071664158002,-0.00612753626189525,-0.0007708623089406,0.00550097387767495,0.00121554354585391,0.00549897187256666,0.0107322762556371
1134,-73.4544941095194,-73.4896608847666,-73.5285344335467,-73.4896453150375,-73.5179916496564,-73.5511865011525,-73.5285071163513,-73.5511759365536,-73.5788768391491,-0.012786037965107,-0.00613286426284373,0.0012215909117986,-0.00613580988647414,-0.000772989815912295,0.00550711719383341,0.00121642279338409,0.00550511848573155,0.0107458297946875
1136,-73.4409743929201,-73.476178717721,-73.5150990660407,-73.4761631618112,-73.5045408836135,-73.5377780707399,-73.5150717724225,-73.537767522051,-73.5655063770018,-0.0128011592985832,-0.00614088162689417,0.00122242751462424,-0.00614382463599895,-0.000775066449872309,0.00551305000401366,0.00121726385688069,0.00551105430597792,0.0107589457900999
1138,-73.4274429346216,-73.4626834944702,-73.5016491000999,-73.4626679510848,-73.4910759793688,-73.5243541438439,-73.5016218275962,-73.524343609684,-73.5521192384958,-0.0128157771781662,-0.00614864422632918,0.00122322710869359,-0.00615158486609926,-0.000777093021253456,0.00551877590279336,0.00121806744555952,0.00551678295338685,0.0107716316553798
1140,-73.4139001686328,-73.4491756716675,-73.4881850186946,-73.4491601396437,-73.4775974122211,-73.5109152187752,-73.4881577650893,-73.51090469789,-73.5387159418558,-0.0128299002162613,-0.00615615639153778,0.00122399034289131,-0.00615909488177575,-0.000779070333015221,0.00552429844445606,0.00121883425526688,0.00552230800656566,0.0107838947104934
1142,-73.4003465209271,-73.435655697659,-73.4747072961615,-73.4356401759554,-73.4641056489325,-73.4974617850221,-73.474680059466,-73.4974512762745,-73.5252969962261,-0.0128435369180449,-0.00616342239286178,0.00122471786346103,-0.00616635893112707,-0.000780999171260125,0.00552962113875005,0.00121956497480018,0.00552763299714413,0.0107957421850779
1144,-73.3867824095292,-73.422124012576,-73.4612163983026,-73.4221085002642,-73.4506011478224,-73.4839943233487,-73.4611891767379,-73.4839838257095,-73.5118629017774,-0.0128566956838037,-0.00617044645052109,0.00122541030764351,-0.00617338121190965,-0.000782880315277261,0.00553474745651708,0.0012202602816264,0.00553276141646166,0.0108071812209183
1146,-73.3732082446014,-73.4085810484258,-73.4477127824798,-73.4085655446793,-73.4370843588614,-73.4705133058935,-73.4476855744596,-73.4705028184328,-73.4984141498056,-0.0128693848107691,-0.00617723272683402,0.00122606830869279,-0.00618016586826549,-0.00078471452784495,0.00553968082273532,0.00122092084525262,0.00553769670826848,0.0108182188676322
